"skills_required","average_salary"
"dplyr","196250"
"solidity","179000"
"hugging face","175000"
"cassandra","170271"
"bitbucket","163161"
"couchbase","160515"
"ansible","159640"
"gitlab","154500"
"mxnet","149000"
"vmware","147500"
"golang","145000"
"twilio","138500"
"rust","138250"
"keras","137020"
"perl","136565"
"notion","133125"
"pytorch","130198"
"puppet","129820"
"kafka","128874"
"airflow","127780"
"dynamodb","123333"
"node","122500"
"swift","122500"
"pyspark","120988"
"elasticsearch","119333"
