"skill_id","skills_required","skills_demanded_count","average_salary"
0,"sql","2387","97941"
181,"excel","1731","87337"
1,"python","1355","104041"
182,"tableau","1293","100146"
5,"r","844","100555"
183,"power bi","792","93226"
196,"powerpoint","444","89529"
188,"word","442","84147"
186,"sas","432","93966"
7,"sas","432","93966"
61,"sql server","263","96251"
79,"oracle","258","101267"
8,"go","207","99946"
215,"flow","204","99373"
74,"azure","201","105898"
76,"aws","198","108516"
80,"snowflake","182","113383"
199,"spss","177","84969"
185,"looker","165","108119"
198,"outlook","147","81685"
195,"sharepoint","146","89022"
22,"vba","143","96642"
189,"sap","126","94521"
9,"javascript","123","91913"
197,"ssrs","110","91836"
192,"sheets","109","85352"
233,"jira","108","109789"
201,"alteryx","102","106649"
97,"hadoop","95","114995"
4,"java","90","102805"
92,"spark","87","115342"
204,"visio","87","102947"
190,"spreadsheet","85","79495"
194,"ssis","79","101461"
2,"nosql","79","102388"
23,"crystal","73","87759"
187,"qlik","72","104446"
141,"express","72","114699"
26,"c","71","100483"
15,"matlab","70","101050"
75,"databricks","61","114198"
200,"cognos","60","90583"
202,"ms access","58","85147"
78,"redshift","58","109592"
170,"windows","58","84829"
16,"t-sql","57","95198"
184,"dax","57","100653"
93,"pandas","56","115811"
14,"c#","53","97900"
13,"c++","51","104924"
56,"mysql","49","99588"
234,"confluence","45","115610"
10,"html","44","86166"
77,"bigquery","42","114679"
210,"git","42","112364"
81,"gcp","40","119049"
96,"airflow","40","127780"
216,"github","36","100399"
21,"visual basic","35","86869"
94,"numpy","35","113960"
169,"linux","34","108801"
67,"db2","34","111998"
6,"shell","33","113677"
191,"microstrategy","33","97195"
57,"postgresql","33","104540"
168,"unix","32","113408"
226,"terminal","31","86577"
95,"pyspark","31","120988"
3,"scala","30","109020"
20,"powershell","30","103543"
25,"php","26","110447"
11,"css","23","92835"
112,"plotly","21","109650"
102,"jupyter","21","114578"
104,"spring","19","96038"
98,"kafka","19","128874"
137,"phoenix","19","107416"
236,"smartsheet","18","66682"
105,"gdpr","17","110490"
106,"scikit-learn","17","112671"
108,"matplotlib","17","100958"
99,"tensorflow","16","118324"
214,"docker","16","87137"
213,"kubernetes","16","104606"
18,"mongodb","15","111236"
249,"microsoft teams","15","85570"
211,"jenkins","15","99787"
62,"mongodb","15","111236"
193,"splunk","14","117350"
31,"perl","14","136565"
235,"planner","14","76441"
32,"assembly","14","80929"
12,"bash","13","104838"
248,"zoom","11","93738"
101,"pytorch","11","130198"
219,"atlassian","10","116898"
120,"seaborn","9","104480"
110,"react","9","82722"
58,"neo4j","9","104411"
237,"asana","8","94798"
247,"slack","8","83369"
115,"ggplot2","8","99416"
136,"angular","7","95719"
24,"mongo","6","93288"
59,"elasticsearch","6","119333"
139,"django","6","98544"
239,"trello","6","56286"
252,"unify","5","113520"
142,"flask","5","90329"
30,"ruby","5","82652"
85,"watson","5","108103"
232,"airtable","5","87008"
107,"tidyverse","5","80000"
42,"vb.net","5","69600"
144,"ruby","5","82652"
241,"monday.com","5","79000"
148,"jquery","5","95772"
151,"drupal","5","88328"
238,"notion","4","133125"
63,"cassandra","4","170271"
29,"julia","4","73699"
225,"unity","4","82063"
84,"ibm cloud","4","100500"
253,"wire","4","68375"
35,"swift","3","122500"
229,"npm","3","60833"
177,"arch","3","86835"
149,"asp.net","3","101667"
64,"dynamodb","3","123333"
218,"bitbucket","3","163161"
70,"sqlite","3","109667"
60,"mariadb","3","96000"
255,"webex","3","92500"
220,"gitlab","3","154500"
46,"cobol","3","91326"
37,"dart","3","72674"
83,"aurora","3","96723"
250,"twilio","2","138500"
154,"node","2","122500"
243,"workfront","2","77730"
55,"redis","2","109250"
47,"sass","2","67699"
145,"node.js","2","111373"
119,"dplyr","2","196250"
176,"macos","2","62852"
222,"puppet","2","129820"
254,"symphony","2","84850"
109,"mxnet","2","149000"
39,"rust","2","138250"
100,"keras","2","137020"
44,"fortran","1","115000"
38,"solidity","1","179000"
82,"firebase","1","87500"
28,"no-sql","1","95000"
27,"golang","1","145000"
65,"couchbase","1","160515"
153,"ruby on rails","1","51059"
66,"firebase","1","87500"
138,"vue","1","65000"
17,"typescript","1","65000"
133,"chainer","1","100000"
221,"chef","1","85000"
223,"ansible","1","159640"
125,"cordova","1","113270"
124,"selenium","1","82500"
122,"opencv","1","67818"
121,"hugging face","1","175000"
118,"theano","1","100000"
116,"graphql","1","65000"
240,"wrike","1","75000"
242,"clickup","1","90000"
73,"vmware","1","147500"
51,"erlang","1","72500"
